NoOfChunksRetrieved,Name,Type,Query,Answer,Result,Correctness,RetrievedDocs
12,test_chunk_10__1-2655016-9,html,"What is the series # on airdate September 21, 2002?","According to the provided data, the series number on airdate September 21, 2002, is 1. This corresponds to the episode titled ""Bumblefoot"".",123,FALSE,"test_chunk_10__1-2655016-9.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-2655016-9,html,"what is the series number of the ""harry bladder special""?","According to the provided data, the ""harry bladder special"" has a series number of 9. This information is found in the first provided text snippet, within the table of episodes.",131,FALSE,"test_chunk_10__1-2655016-9.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26565917-2,html,what was the name of episode 5?,"""Seven Seconds""",Seven Seconds,TRUE,"test_chunk_10__1-2655016-9.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26565917-2.html"
12,test_chunk_10__1-26565917-2,html,when did 14.55 people watch?,"This is a trick question! The provided text is a list of songs and their dates, not information about viewership numbers. There is no mention of ""14.55 people"" or any view count.

Therefore, the answer is: The text does not provide this information.","October 10, 2007",FALSE,"test_chunk_10__1-26565917-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26593762-2,html,Who is the captain of Cardiff City?,Craig Bellamy is the captain of Cardiff City.,Craig Bellamy,TRUE,"test_chunk_10__1-26593762-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26593762-2,html,How many kit makers are there for Louis Carey's team?,"This question cannot be answered from the provided text. The text lists songs and artists, but provides no information about kit makers or Louis Carey's team.",1,FALSE,"test_chunk_10__1-26593762-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26593762-2,html,Who is the captain of Neil Warnock's team?,"According to the provided text, Neil Warnock is the manager of Queens Park Rangers, and Adel Taarabt is the team captain.",Adel Taarabt,TRUE,"test_chunk_10__1-26593762-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26593762-2,html,Who is the captain of Dave Jones' team?,"According to the provided text, Craig Bellamy is the captain of Dave Jones' team.",Craig Bellamy,TRUE,"test_chunk_10__1-26593762-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26593762-2,html,Who is the chairman of Mark Robins team?,"According to the provided text, Patrick Cyrne is the chairman of Mark Robins' team.",Patrick Cyrne,TRUE,"test_chunk_10__1-26593762-2.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-2668243-8,html,What was the result for Henry Daniel's race?,Henry Daniel was re-elected with 66.6% of the vote.,Re-elected,TRUE,"test_chunk_10__1-2668243-8.html, test_chunk_10__1-2668336-19.html, test_chunk_10__1-26609690-1.html"
12,test_chunk_10__1-2668243-8,html,When was Henry Daniel first elected?,"According to the provided text, Henry Daniel was first elected in 1827.",1827,TRUE,"test_chunk_10__1-2668243-8.html, test_chunk_10__1-2668336-19.html, test_chunk_10__1-2668352-14.html "
12,test_chunk_10__1-2668243-8,html,How many first elected years are provided for Thomas P. Moore?,"According to the provided text, Thomas P. Moore was first elected in 1822.",1,FALSE,"test_chunk_10__1-2668243-8.html, test_chunk_10__1-2668336-17.html, test_chunk_10__1-2668352-19.html"
12,test_chunk_10__1-2668243-8,html,What district is Joseph Lecompte in office in?,Joseph Lecompte is in office in Kentucky District 6.,Kentucky 6,TRUE,"test_chunk_10__1-2668243-8.html, test_chunk_10__1-2668243-20.html, test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-2668264-22,html,What party does joel r. poinsett represent?,"According to the provided text, Joel R. Poinsett represents the Jackson Republican party. The text states ""District | Incumbent | Party | First elected | Result | Candidates ---|---|---|---|---|--- South Carolina 1 | Joel R. Poinsett | Jackson Republican | 1820 | Re-elected | Joel R. Poinsett (J) 58.2% Samuel Warren 41.8%"".",Jackson Republican,TRUE,"test_chunk_10__1-2668264-22.html, test_chunk_10__1-2668243-8.htm,  test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-2668264-22,html,What was the first elected year that featured incumbent andrew r. govan?,"According to the provided text, Andrew R. Govan was first elected in 1822 (special).",1822,TRUE,"test_chunk_10__1-2668264-22.html, test_chunk_10__1-2668243-20.html, test_chunk_10__1-2668352-14.html "
12,test_chunk_10__1-2668336-17,html,In what district is the incumbent Charles Fisher?,Charles Fisher is the incumbent in the 10th district.,North Carolina 10,TRUE,"test_chunk_10__1-2668336-17.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26565917-2.html"
12,test_chunk_10__1-2668336-17,html,First elected in 1807 1817 in what district?,Lemuel Sawyer was first elected in 1807 in the North Carolina 1 district.,North Carolina 1,TRUE,"test_chunk_10__1-2668336-17.html, test_chunk_10__1-2668336-19.html, test_chunk_10__1-2668243-20.html"
12,test_chunk_10__1-2668336-17,html,The candidates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% is for what incumbent?,The candidates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% are for the incumbent Charles Fisher. This information is found in the table for North Carolina 10.,Charles Fisher,TRUE,"test_chunk_10__1-2668336-17.html, test_chunk_10__1-2668352-14.html, test_chunk_10__1-2668352-19.html 
"
12,test_chunk_10__1-2668336-17,html,"In district North Carolina 10, what are the candidates?","In district North Carolina 10, the candidates are Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,"test_chunk_10__1-2668336-17.html, test_chunk_10__1-2668336-19.html, test_chunk_10__1-2668264-22.html"
12,test_chunk_10__1-2668336-17,html,Candiates Charles Fisher (DR) 65.1% W. Jones (F) 34.9% had what result?,The candidates Charles Fisher (DR) 65.1% and W. Jones (F) 34.9% had a result of Charles Fisher being re-elected. This information is located in the table for North Carolina 10.,	Re-elected,TRUE,"test_chunk_10__1-2668336-17.html, test_chunk_10__1-2668352-14.html, test_chunk_10__1-2668352-19.html"
12,test_chunk_10__1-2668336-17,html,The district North Carolina 10 have what candidates?,"In district North Carolina 10, the candidates were Charles Fisher (DR) with 65.1% and W. Jones (F) with 34.9%.",Charles Fisher (DR) 65.1% W. Jones (F) 34.9%,TRUE,"test_chunk_10__1-2668336-17.html, test_chunk_10__1-2668336-19.html, test_chunk_10__1-2668264-22.html"
12,test_chunk_10__1-26609690-1,html,What is the smallest top 10 figure?,The smallest top 10 figure is 0.,0,TRUE,"test_chunk_10__1-26631526-1.html, test_chunk_10__1-26609690-1.html,test_chunk_10__1-26631526-1.html"
12,test_chunk_10__1-26609690-1,html,What is the earliest year on the chart?,2000,2003,FALSE,"test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html, test_chunk_10__1-26631526-1.html"
