Name,Query,Answer1,Answer2,Type1,Type2,TypePair,Cosine_similarity,Answer1_sentiment,Answer2_sentiment,Rouge1,Rouge2,RougeL,MissingInfoRatio,Answer1_Length,Answer2_Length
test_chunk_10__1-2655016-9,"What is the series # on airdate September 21, 2002?","According to the provided data, the series number on airdate September 21, 2002, is 1. This corresponds to the episode titled ""Bumblefoot"".",Series # 132,html,hard-coded,hard-coded + html,0.3779832124710083,negative,positive,0.08333333333333334,0.0,0.08333333333333334,0.6666666644444444,22,3
test_chunk_10__1-2655016-9,"What is the series # on airdate September 21, 2002?","According to the provided data, the series number on airdate September 21, 2002, is 1. This corresponds to the episode titled ""Bumblefoot"".","The provided text does not contain any information about air dates in September 2002. It only contains data from June 2010 and June 2002, and beyond.",html,md,html + md,0.405337929725647,negative,negative,0.20833333333333331,0.043478260869565216,0.16666666666666669,0.8333333329861111,22,26
test_chunk_10__1-2655016-9,"What is the series # on airdate September 21, 2002?",Series # 132,"The provided text does not contain any information about air dates in September 2002. It only contains data from June 2010 and June 2002, and beyond.",hard-coded,md,hard-coded + md,0.10667195171117783,positive,negative,0.0,0.0,0.0,0.9999999995833333,3,26
test_chunk_10__1-2655016-9,"what is the series number of the ""harry bladder special""?","According to the provided data, the ""harry bladder special"" has a series number of 9. This information is found in the first provided text snippet, within the table of episodes.","According to the provided text, the ""Harry Bladder Special"" is listed as Series 131",html,hard-coded,hard-coded + html,0.8226338624954224,negative,negative,0.5,0.3333333333333333,0.4090909090909091,0.30769230745562126,30,14
test_chunk_10__1-2655016-9,"what is the series number of the ""harry bladder special""?","According to the provided data, the ""harry bladder special"" has a series number of 9. This information is found in the first provided text snippet, within the table of episodes.","The provided text does not contain any information about a ""harry bladder special"". Therefore, I cannot determine its series number.",html,md,html + md,0.8296859264373779,negative,negative,0.4,0.20833333333333334,0.28,0.5999999997,30,20
test_chunk_10__1-2655016-9,"what is the series number of the ""harry bladder special""?","According to the provided text, the ""Harry Bladder Special"" is listed as Series 131","The provided text does not contain any information about a ""harry bladder special"". Therefore, I cannot determine its series number.",hard-coded,md,hard-coded + md,0.8828999996185303,negative,negative,0.4117647058823529,0.25,0.4117647058823529,0.749999999625,14,20
test_chunk_10__1-26565917-2,what was the name of episode 5?,"""Seven Seconds""","The name of episode 5 was ""Tom Green / Avril Lavigne"".",html,hard-coded,hard-coded + html,0.22198541462421417,positive,negative,0.0,0.0,0.0,0.999999999090909,2,11
test_chunk_10__1-26565917-2,what was the name of episode 5?,"""Seven Seconds""","""Seven Seconds""",html,md,html + md,1.0,positive,positive,1.0,1.0,1.0,0.0,2,2
test_chunk_10__1-26565917-2,what was the name of episode 5?,"The name of episode 5 was ""Tom Green / Avril Lavigne"".","""Seven Seconds""",hard-coded,md,hard-coded + md,0.22198541462421417,negative,positive,0.0,0.0,0.0,0.999999995,11,2
test_chunk_10__1-26565917-2,when did 14.55 people watch?,"This is a trick question! The provided text is a list of songs and their dates, not information about viewership numbers. There is no mention of ""14.55 people"" or any view count.

Therefore, the answer is: The text does not provide this information.","According to the provided text, 14.55 million viewers watched episode 48, titled ""Scared to Death,"" which aired on October 10, 2007",html,hard-coded,hard-coded + html,0.32493895292282104,negative,negative,0.15151515151515152,0.09374999999999999,0.15151515151515152,0.89999999955,43,21
test_chunk_10__1-26565917-2,when did 14.55 people watch?,"This is a trick question! The provided text is a list of songs and their dates, not information about viewership numbers. There is no mention of ""14.55 people"" or any view count.

Therefore, the answer is: The text does not provide this information.","According to the provided text, 14.55 people watched on October 11, 2007.",html,md,html + md,0.5891213417053223,negative,positive,0.21052631578947364,0.14545454545454545,0.21052631578947364,0.8333333326388889,43,12
test_chunk_10__1-26565917-2,when did 14.55 people watch?,"According to the provided text, 14.55 million viewers watched episode 48, titled ""Scared to Death,"" which aired on October 10, 2007","According to the provided text, 14.55 people watched on October 11, 2007.",hard-coded,md,hard-coded + md,0.6088491678237915,negative,positive,0.6285714285714286,0.4242424242424242,0.6285714285714286,0.24999999979166665,21,12
